"code","long_description","medium_description","short_description"
"100","Anesthesia for procedures on salivary glands, including biopsy","ANESTHESIA SALIVARY GLANDS WITH BIOPSY","ANESTH SALIVARY GLAND"
"102","Anesthesia for procedures involving plastic repair of cleft lip","ANESTHESIA CLEFT LIP INVOLVING PLASTIC REPAIR","ANESTH REPAIR OF CLEFT LIP"
"103","Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)","ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE","ANESTH BLEPHAROPLASTY"
"104","Anesthesia for electroconvulsive therapy","ANESTHESIA ELECTROCONVULSIVE THERAPY","ANESTH ELECTROSHOCK"
"120","Anesthesia for procedures on external, middle, and inner ear including  biopsy; not otherwise specified","ANESTHESIA EXTERNAL MIDDLE & INNER EAR W/BX NOS","ANESTH EAR SURGERY"
"124","Anesthesia for procedures on external, middle, and inner ear including  biopsy; otoscopy","ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY","ANESTH EAR EXAM"
"126","Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy","ANES XTRNL MID & INNER EAR W/BX TYMPANOTOMY","ANESTH TYMPANOTOMY"
"140","Anesthesia for procedures on eye; not otherwise specified","ANESTHESIA EYE NOT OTHERWISE SPECIFIED","ANESTH PROCEDURES ON EYE"
"142","Anesthesia for procedures on eye; lens surgery","ANESTHESIA EYE LENS SURGERY","ANESTH LENS SURGERY"
"144","Anesthesia for procedures on eye; corneal transplant","ANESTHESIA EYE CORNEAL TRANSPLANT","ANESTH CORNEAL TRANSPLANT"
"145","Anesthesia for procedures on eye; vitreoretinal surgery","ANESTHESIA EYE VITREORETINAL SURGERY","ANESTH VITREORETINAL SURG"
"147","Anesthesia for procedures on eye; iridectomy","ANESTHESIA EYE IRIDECTOMY","ANESTH IRIDECTOMY"
"148","Anesthesia for procedures on eye; ophthalmoscopy","ANESTHESIA EYE OPHTHALMOSCOPY","ANESTH EYE EXAM"
"160","Anesthesia for procedures on nose and accessory sinuses; not otherwise specified","ANESTHESIA NOSE & ACCESSORY SINUSES NOS","ANESTH NOSE/SINUS SURGERY"
"162","Anesthesia for procedures on nose and accessory sinuses; radical surgery","ANES NOSE & ACCESSORY SINUSES RADICAL SURGERY","ANESTH NOSE/SINUS SURGERY"
"164","Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue","ANES NOSE&ACCESSORY SINUSES BIOPSY SOFT TISSUE","ANESTH BIOPSY OF NOSE"
"170","Anesthesia for intraoral procedures, including biopsy; not otherwise specified","ANESTHESIA INTRAORAL WITH BIOPSY NOS","ANESTH PROCEDURE ON MOUTH"
"172","Anesthesia for intraoral procedures, including biopsy; repair of cleft palate","ANES INTRAORAL W/BIOPSY REPAIR CLEFT PALATE","ANESTH CLEFT PALATE REPAIR"
"174","Anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor","ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR","ANESTH PHARYNGEAL SURGERY"
"176","Anesthesia for intraoral procedures, including biopsy; radical surgery","ANESTHESIA INTRAORAL W/BIOPSY RADICAL SURGERY","ANESTH PHARYNGEAL SURGERY"
"190","Anesthesia for procedures on facial bones or skull; not otherwise specified","ANESTHESIA FACIAL BONES OR SKULL NOS","ANESTH FACE/SKULL BONE SURG"
"192","Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism)","ANES FACIAL BONES/SKULL RAD SURG W/PROGNATHISM","ANESTH FACIAL BONE SURGERY"
"210","Anesthesia for intracranial procedures; not otherwise specified","ANESTHESIA INTRACRANIAL PROCEDURE NOS","ANESTH CRANIAL SURG NOS"
"211","Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma","ANES INTRACRANIAL CRANIOTOMY/CRANIECTOMY HMTMA","ANESTH CRAN SURG HEMOTOMA"
"212","Anesthesia for intracranial procedures; subdural taps","ANESTHESIA INTRACRANIAL PROCEDURE SUBDURAL TAPS","ANESTH SKULL DRAINAGE"
"214","Anesthesia for intracranial procedures; burr holes, including ventriculography","ANES INTRACRANIAL BURR HOLES W/VENTRICULOGRAPHY","ANESTH SKULL DRAINAGE"
"215","Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)","ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL","ANESTH SKULL REPAIR/FRACT"
